text,label
The product is fast reliable and easy to use,positive
I loved the clean interface and the helpful automation,positive
Setup was easy and everything worked smoothly,positive
The recommendation quality was accurate and useful,positive
Support answered quickly and solved my problem,positive
The dashboard feels clean polished and professional,positive
The app saved me hours of manual work,positive
Results were accurate clear and easy to understand,positive
The workflow is intuitive fast and excellent,positive
I would recommend this useful tool to my team,positive
The feature set is practical helpful and well designed,positive
The onboarding experience was clear friendly and easy,positive
Clean reports and useful insights made the tool valuable,positive
Fast search and clear summaries improved our process,positive
The software feels reliable and the output is accurate,positive
The automation is helpful and makes the team faster,positive
The interface is simple clean and easy to navigate,positive
Performance is excellent and the setup is smooth,positive
The product gives useful recommendations and clear results,positive
This was a reliable tool with great support,positive
The system crashed and lost my work,negative
The interface is confusing and painfully slow,negative
I waited all day and support never replied,negative
The output was inaccurate and hard to trust,negative
Installation failed twice with unclear errors,negative
The product feels unfinished and unreliable,negative
It was expensive and did not solve my problem,negative
The dashboard is cluttered and difficult to navigate,negative
The model gave poor recommendations for simple tasks,negative
I found several bugs during the first hour,negative
The documentation is missing important details,negative
The workflow wastes time instead of saving it,negative
The service was unstable and the results were disappointing,negative
The export feature broke when I needed it most,negative
The app is slow confusing and unreliable,negative
The setup was difficult and the errors were unclear,negative
The recommendations were poor inaccurate and not useful,negative
Support was slow and the answer was unhelpful,negative
The system is buggy unstable and hard to use,negative
The reports were cluttered confusing and inaccurate,negative
